food_name,Calories,protein_g,fat_g,carbs_g
"Popcorn, movie theater, unbuttered",622.5,6.18,48.7,39.87
"Popcorn, air-popped, unbuttered",402.12,12.89,4.52,77.47
"Popcorn, air-popped, with added butter or margarine",443.78999999999996,11.02,15.19,65.75
"Popcorn, popped in oil, unbuttered",519.23,8.96,27.99,57.87
"Popcorn, popped in oil, with added butter or margarine",543.09,7.69,35.09,49.13
"Popcorn, microwave, NFS",538.35,8.69,31.07,55.99
"Popcorn, microwave, plain",538.35,8.69,31.07,55.99
"Popcorn, microwave, plain, light",420.91,12.51,9.43,71.5
"Popcorn, microwave, low sodium",517.1999999999999,8.93,27.88,57.64
"Popcorn, microwave, unsalted",517.1999999999999,8.93,27.88,57.64
"Popcorn, microwave, butter flavored",538.35,8.69,31.07,55.99
"Popcorn, microwave, butter flavored, light",420.91,12.51,9.43,71.5
"Popcorn, microwave, cheese flavored",536.23,8.65,30.95,55.77
"Popcorn, microwave, kettle corn",516.1,9.88,27.06,58.26
"Popcorn, microwave, kettle corn, light",422.71,12.35,9.31,72.38
"Popcorn, microwave, other flavored",536.23,8.65,30.95,55.77
"Popcorn, ready-to-eat packaged, NFS",541.81,8.88,32.53,53.38
"Popcorn, ready-to-eat packaged, plain",495.06000000000006,10.19,23.26,61.24
"Popcorn, ready-to-eat packaged, plain, light",451.91999999999996,11.33,14.92,68.08
"Popcorn, ready-to-eat packaged, low sodium",498.96000000000004,10.27,23.44,61.73
"Popcorn, ready-to-eat packaged, unsalted",498.96000000000004,10.27,23.44,61.73
"Popcorn, ready-to-eat packaged, butter flavored",541.81,8.88,32.53,53.38
"Popcorn, ready-to-eat packaged, butter flavored, light",449.89,11.28,14.85,67.78
"Popcorn, ready-to-eat packaged, cheese flavored",542.4000000000001,9.3,33.2,51.6
"Popcorn, ready-to-eat packaged, cheese flavored, light",449.89,11.28,14.85,67.78
"Popcorn, ready-to-eat-packaged, kettle corn",537.94,5.48,30.22,61.01
"Popcorn, ready-to-eat packaged, kettle corn, light",447.03,8.94,13.07,73.41
"Popcorn, ready-to-eat packaged, other flavored",542.4000000000001,9.3,33.2,51.6
"Popcorn, caramel coated",443.26,3.77,12.7,78.47
"Popcorn, caramel coated, with nuts",415.29999999999995,6.35,7.74,80.06
"Popcorn, chocolate coated",441.95000000000005,5.34,12.79,76.37
"Popcorn chips, plain",438.19,10.19,11.19,74.18
"Popcorn chips, other flavors",438.19,10.19,11.19,74.18
"Popcorn chips, sweet flavors",454.95000000000005,8.75,13.51,74.59
Onion flavored rings,494.6,7.7,22.6,65.1
Shrimp chips,425.66,7.14,17.86,59.09
"Pretzels, NFS",388.09000000000003,10.04,2.93,80.39
"Pretzels, hard, NFS",388.09000000000003,10.04,2.93,80.39
"Pretzels, hard, plain, salted",388.09000000000003,10.04,2.93,80.39
"Pretzels, hard, plain, lightly salted",386.46000000000004,9.57,3.22,79.8
"Pretzels, hard, plain, unsalted",384.7,9.1,3.5,79.2
"Pretzels, hard, flavored",392.36,9.92,3.88,79.44
"Pretzels, hard, multigrain",387.56,10.15,2.96,80.08
"Pretzels, hard, plain, gluten free",388.59000000000003,3.52,6.67,78.62
"Pretzels, hard, flavored, gluten free",392.9,3.48,7.58,77.69
"Pretzel, baby food",390.0,10.8,2.0,82.2
"Pretzel chips, hard, plain",378.66,9.8,2.86,78.43
"Pretzel chips, hard, flavored",374.17999999999995,9.68,2.82,77.52
"Pretzel chips, hard, gluten free",379.11,3.43,6.51,76.7
"Pretzels, hard, coated, NFS",467.23999999999995,7.05,17.64,70.07
"Pretzels, hard, chocolate coated",467.23999999999995,7.05,17.64,70.07
"Pretzels, hard, white chocolate coated",450.27,5.94,14.19,74.7
"Pretzels, hard, yogurt coated",439.53,5.94,12.17,76.56
"Pretzels, hard, coated, gluten free",455.41,3.76,15.57,75.06
"Pretzels, hard, filled, NFS",457.68,9.85,16.92,66.5
"Pretzels, hard, cheese filled",457.68,9.85,16.92,66.5
"Pretzels, hard, peanut butter filled",469.87,14.14,18.91,60.78
"Pretzels, soft, NFS",345.56,8.01,4.0,69.38
"Pretzels, soft, ready-to-eat, NFS",345.56,8.01,4.0,69.38
"Pretzels, soft, ready-to-eat, salted, buttered",345.56,8.01,4.0,69.38
"Pretzels, soft, ready-to-eat, unsalted, buttered",350.29,8.12,4.05,70.34
"Pretzels, soft, ready-to-eat, salted, no butter",340.14000000000004,8.09,3.06,70.06
"Pretzels, soft, ready-to-eat, unsalted, no butter",344.86,8.2,3.1,71.04
"Pretzels, soft, ready-to-eat, cinnamon sugar coated",376.09999999999997,6.22,6.14,73.99
"Pretzels, soft, ready-to-eat, coated or flavored",365.39,7.89,7.75,66.02
"Pretzels, soft, ready-to-eat, topped with meat",348.73,11.48,9.93,53.36
"Pretzels, soft, ready-to-eat, topped with cheese",338.52000000000004,10.22,5.36,62.35
"Pretzels, soft, from frozen, NFS",345.56,8.01,4.0,69.38
"Pretzels, soft, from frozen, salted",340.14000000000004,8.09,3.06,70.06
"Pretzels, soft, from frozen, unsalted",344.86,8.2,3.1,71.04
"Pretzels, soft, from frozen, cinnamon sugar coated",376.09999999999997,6.22,6.14,73.99
"Pretzels, soft, from frozen, coated or flavored",365.39,7.89,7.75,66.02
"Pretzels, soft, from frozen, topped with meat",348.73,11.48,9.93,53.36
"Pretzels, soft, from frozen, topped with cheese",338.52000000000004,10.22,5.36,62.35
"Pretzels, soft, filled with cheese",338.52000000000004,10.22,5.36,62.35
"Pretzels, soft, from school lunch",345.56,8.55,3.16,70.73
"Pretzels, soft, multigrain",343.17,8.49,3.13,70.26
"Pretzels, soft, gluten free",296.86,4.03,5.74,57.27
"Pretzels, soft, gluten free, cinnamon sugar coated",340.65999999999997,3.1,8.14,63.75
"Pretzels, soft, gluten free, coated or flavored",326.33,4.1,10.37,54.15
Multigrain chips (Sun Chips),490.83000000000004,7.95,21.11,67.26
"Snack mix, plain (Chex Mix)",428.08,8.83,10.0,75.69
Bagel chips,451.06,12.34,15.14,66.36
Cracker chips,490.83000000000004,7.95,21.11,67.26
"Pancakes, NFS",278.24,7.43,11.92,35.31
"Pancakes, plain, from frozen",233.39000000000001,5.23,6.83,37.75
"Pancakes, plain, reduced fat, from fozen",260.98,7.6,9.58,36.09
"Pancakes, with fruit, from frozen",224.51999999999998,4.99,6.52,36.47
"Pancakes, with chocolate, from frozen",248.45,5.35,7.97,38.83
"Pancakes, whole grain, from frozen",237.10999999999999,5.54,6.75,38.55
"Pancakes, whole grain, reduced fat, from frozen",237.10999999999999,5.54,6.75,38.55
"Pancakes, gluten free, from frozen",215.47,3.31,4.55,40.32
"Pancakes, plain, from fast food / restaurant",303.16999999999996,7.18,15.33,34.12
"Pancakes, with fruit, from fast food / restaurant",251.6,5.73,12.16,29.81
"Pancakes, with chocolate, from fast food / restaurant",356.90999999999997,7.48,18.55,40.01
"Pancakes, whole grain, from fast food / restaurant",298.28999999999996,7.62,15.65,31.74
"Pancakes, whole grain and nuts, from fast food / restaurant",359.29,7.95,23.01,30.1
"Pancakes, from school, NFS",245.89,6.26,6.57,40.43
"Pancakes, plain",278.24,7.43,11.92,35.31
"Pancakes, plain, reduced fat",260.98,7.6,9.58,36.09
"Pancakes, with fruit",230.78,5.88,9.42,30.62
"Pancakes, pumpkin",238.87,6.39,9.95,30.94
"Pancakes, with chocolate",337.73,7.7,15.81,41.16
"Pancakes, buckwheat",273.33,8.04,12.69,31.74
"Pancakes, cornmeal",200.26999999999998,4.77,5.91,32.0
"Pancakes, whole grain",272.25,7.89,12.13,32.88
"Pancakes, whole grain, reduced fat",254.37,8.07,9.73,33.63
"Pancakes, gluten free",215.47,3.31,4.55,40.32
"Waffle, NFS",308.65,7.42,9.49,48.39
"Waffle, plain, from frozen",308.65,7.42,9.49,48.39
"Waffle, plain, reduced fat, from frozen",284.76,9.42,6.92,46.2
"Waffle, fruit, from frozen",296.05,7.07,9.05,46.58
"Waffle, chocolate, from frozen",319.98,7.43,10.5,48.94
"Waffle, whole grain, from frozen",289.43,6.78,8.39,46.7
"Waffle, whole grain, reduced fat, from frozen",257.33,7.14,3.57,49.16
"Waffle, whole grain, fruit, from frozen",278.34000000000003,6.48,8.02,45.06
"Waffle, gluten free, from frozen",262.64,2.72,8.84,43.05
"Waffle, plain, from fast food / restaurant",424.11,8.19,26.19,38.91
"Waffle, chocolate, from fast food / restaurant",477.18999999999994,8.62,28.71,46.08
"Waffle, fruit, from fast food / restaurant",352.83,6.62,20.95,34.45
"Waffle, whole grain, from fast food / restaurant",420.13,8.67,26.77,36.13
"Waffle, from school, NFS",257.33,7.14,3.57,49.16
"Waffle, plain",368.59999999999997,8.73,18.64,41.48
"Waffle, fruit",305.78,6.96,14.78,36.23
"Waffle, chocolate",433.87,9.1,22.55,48.63
"Waffle, cinnamon",368.91999999999996,8.73,18.6,41.65
"Waffle, cornmeal",264.86,6.83,11.74,32.97
"Waffle, whole grain",362.58000000000004,9.26,19.02,38.59
"Waffle, gluten free",262.64,2.72,8.84,43.05
"Waffle, plain, reduced fat",337.87,9.03,14.47,42.88
"Waffle, whole grain, reduced fat",330.61,9.58,14.73,39.93
"French toast, NFS",270.99,10.42,11.15,32.24
"French toast, plain, from frozen",181.90999999999997,7.27,3.71,29.86
"French toast, whole grain, from frozen",180.08999999999997,8.2,3.89,28.07
"French toast, gluten free, from frozen",172.73,4.84,4.49,28.24
"French toast, plain, from fast food / restaurant",308.93,9.89,14.09,35.64
"French toast, whole grain, from fast food / restaurant",306.71000000000004,11.03,14.31,33.45
"French toast, from school, NFS",160.55,9.18,3.71,22.61
"French toast, plain",270.99,10.42,11.15,32.24
"French toast, plain, reduced fat",236.76999999999998,10.95,6.37,33.91
"French toast, whole grain",269.19,11.41,11.35,30.35
"French toast, whole grain, reduced fat",234.77,11.99,6.57,31.92
"French toast, gluten free",261.38,7.86,11.98,30.53
"French toast sticks, NFS",274.68,7.53,9.12,40.62
"French toast sticks, plain, from frozen",274.68,7.53,9.12,40.62
"French toast sticks, plain, from fast food / restaurant",409.99,7.06,20.87,48.48
"French toast sticks, from school, NFS",160.55,9.18,3.71,22.61
"French toast sticks, plain",348.5,6.0,17.74,41.21
"French toast sticks, whole grain",269.19,11.41,11.35,30.35
"Fried bread, Puerto Rican style",261.46999999999997,5.03,8.27,41.73
"Crepe, NFS",220.41,8.78,10.93,21.73
"Crepe, plain",220.41,8.78,10.93,21.73
Chinese pancake,201.14,4.05,0.38,45.38
"Dumpling, plain",123.17,3.31,3.21,20.26
Cake made with glutinous rice,282.46999999999997,2.22,6.55,53.66
Cake or pancake made with rice flour and/or dried beans,128.51,6.36,0.35,24.98
"Dosa (Indian), plain",207.41,5.7,4.05,37.04
Cake made with glutinous rice and dried beans,185.58,8.29,0.34,37.34
Funnel cake with sugar,349.43,7.7,16.23,43.14
Funnel cake with sugar and fruit,381.61,5.72,15.45,54.92
"Pasta, vegetable, cooked",125.27,4.52,0.11,26.55
"Noodles, cooked",136.62,4.51,2.06,25.01
"Noodles, whole grain, cooked",158.78,5.96,1.7,29.91
"Noodles, vegetable, cooked",130.48,5.01,1.56,24.1
"Noodles, chow mein",534.4,10.33,31.72,51.9
"Long rice noodles, made from mung beans, cooked",82.89,0.04,0.01,20.66
"Rice noodles, cooked",104.4,1.78,0.2,23.87
"Pasta, cooked",154.04,5.76,0.92,30.68
"Pasta, whole grain, cooked",158.66000000000003,5.95,1.7,29.89
"Pasta, gluten free",174.0,3.2,1.0,38.05
"Cereal, cooked, NFS",64.09,2.21,1.09,11.36
"Barley, NS as to fat",125.32,2.25,0.44,28.09
"Barley, no added fat",125.32,2.25,0.44,28.09
"Barley, fat added",142.2,2.2,2.72,27.23
"Buckwheat groats, NS as to fat",98.5,3.37,0.62,19.86
"Buckwheat groats, no added fat",98.5,3.37,0.62,19.86
"Buckwheat groats, fat added",118.89999999999999,3.22,3.34,18.99
"Grits, NS as to regular, quick, or instant, NS as to fat",69.94,1.19,1.82,12.2
"Grits, NS as to regular, quick, or instant, no added fat",56.96,1.2,0.28,12.41
"Grits, NS as to regular, quick, or instant, fat added",69.94,1.19,1.82,12.2
"Grits, regular or quick, made with water, NS as to fat",69.94,1.19,1.82,12.2
"Grits, regular or quick, made with water, no added fat",56.96,1.2,0.28,12.41
"Grits, regular or quick, made with water, fat added",69.94,1.19,1.82,12.2
"Grits, regular or quick, made with milk, NS as to fat",120.78,4.53,3.82,17.07
"Grits, regular or quick, made with milk, no added fat",108.58,4.6,2.3,17.37
"Grits, regular or quick, made with milk, fat added",120.78,4.53,3.82,17.07
"Grits, regular or quick, made with non-dairy milk, NS as to fat",99.72,2.23,3.0,15.95
"Grits, regular or quick, made with non-dairy milk, no added fat",87.19000000000001,2.26,1.47,16.23
"Grits, regular or quick, made with non-dairy milk, fat added",99.72,2.23,3.0,15.95
"Grits, with cheese, NS as to fat",107.10999999999999,3.56,5.27,11.36
"Grits, with cheese, no added fat",95.84,3.6,3.92,11.54
"Grits, with cheese, fat added",107.10999999999999,3.56,5.27,11.36
"Grits, instant, made with water, no added fat",68.47999999999999,1.38,0.4,14.84
"Grits, instant, made with water, fat added",88.35,1.36,2.83,14.36
"Grits, instant, made with water, NS as to fat",88.35,1.36,2.83,14.36
"Grits, instant, made with milk, fat added",128.15,3.98,4.39,18.18
"Grits, instant, made with milk, no added fat",109.69999999999999,4.09,2.02,18.79
"Grits, instant, made with milk, NS as to fat",128.15,3.98,4.39,18.18
"Grits, instant, made with non-dairy milk, NS as to fat",111.63,2.17,3.75,17.3
"Grits, instant, made with non-dairy milk, no added fat",92.67999999999999,2.23,1.36,17.88
"Grits, instant, made with non-dairy milk, fat added",111.63,2.17,3.75,17.3
"Cornmeal mush, NS as to fat",69.82,1.11,1.82,12.25
"Cornmeal mush, no added fat",56.88,1.12,0.28,12.47
"Cornmeal mush, fat added",69.82,1.11,1.82,12.25
"Cornmeal, Puerto Rican Style",148.36,4.11,2.16,28.12
Cornmeal dumpling,164.91,5.33,4.67,25.39
"Masa harina, cooked",99.94999999999999,2.26,0.99,20.5
"Millet, NS as to fat",117.28,3.5,1.0,23.57
"Millet, no added fat",117.28,3.5,1.0,23.57
"Millet, fat added",139.29,3.32,4.05,22.39
"Oatmeal, from fast food, plain",80.86,2.6,2.54,11.9
"Oatmeal, from fast food, maple flavored",111.92999999999999,2.4,2.33,20.34
"Oatmeal, from fast food, fruit flavored",126.62,2.28,2.14,24.56
"Oatmeal, from fast food, other flavors",111.92999999999999,2.4,2.33,20.34
"Oatmeal, NS as to regular, quick, or instant, NS as to fat",76.89,2.18,2.61,11.17
"Oatmeal, NS as to regular, quick, or instant, no added fat",64.09,2.21,1.09,11.36
"Oatmeal, NS as to regular, quick, or instant, fat added",76.89,2.18,2.61,11.17
"Oatmeal, regular or quick, made with water, NS as to fat",76.89,2.18,2.61,11.17
"Oatmeal, regular or quick, made with water, no added fat",64.09,2.21,1.09,11.36
"Oatmeal, regular or quick, made with water, fat added",76.89,2.18,2.61,11.17
"Oatmeal, regular or quick, made with milk, NS as to fat",127.19,5.48,4.59,15.99
"Oatmeal, regular or quick, made with milk, no added fat",115.26,5.57,3.1,16.27
"Oatmeal, regular or quick, made with milk, fat added",127.19,5.48,4.59,15.99
"Oatmeal, regular or quick, made with non-dairy milk, NS as to fat",106.28999999999999,3.21,3.77,14.88
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",94.03,3.26,2.27,15.14
"Oatmeal, regular or quick, made with non-dairy milk, fat added",106.28999999999999,3.21,3.77,14.88
"Oatmeal, instant, plain, made with water, NS as to fat",93.06,2.2,3.7,12.74
"Oatmeal, instant, plain, made with water, no added fat",73.34,2.26,1.3,13.15
"Oatmeal, instant, plain, made with water, fat added",93.06,2.2,3.7,12.74
"Oatmeal, instant, plain, made with milk, NS as to fat",132.95,4.82,5.27,16.56
"Oatmeal, instant, plain, made with milk, no added fat",114.52000000000001,4.96,2.92,17.1
"Oatmeal,  instant, plain, made with milk, fat added",132.95,4.82,5.27,16.56
"Oatmeal, instant, plain, made with non-dairy milk, NS as to fat",116.34,3.02,4.62,15.67
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",97.5,3.1,2.26,16.19
"Oatmeal, instant, plain, made with non-dairy milk, fat added",116.34,3.02,4.62,15.67
"Oatmeal, instant, maple flavored, NS as to fat",118.95,2.38,3.43,19.64
"Oatmeal, instant, maple flavored, no added fat",101.93,2.44,1.25,20.23
"Oatmeal, instant, maple flavored, fat added",118.95,2.38,3.43,19.64
"Oatmeal, instant, fruit flavored, NS as to fat",117.62,2.29,3.38,19.51
"Oatmeal, instant, fruit flavored, no added fat",100.42999999999999,2.34,1.19,20.09
"Oatmeal, instant, fruit flavored, fat added",117.62,2.29,3.38,19.51
"Oatmeal, instant, other flavors, NS as to fat",118.95,2.38,3.43,19.64
"Oatmeal, instant, other flavors, no added fat",101.93,2.44,1.25,20.23
"Oatmeal, instant, other flavors, fat added",118.95,2.38,3.43,19.64
"Oatmeal, reduced sugar, plain, NS as to fat",105.72999999999999,2.29,3.57,16.11
"Oatmeal, reduced sugar, plain, no added fat",87.4,2.35,1.28,16.62
"Oatmeal, reduced sugar, plain, fat added",105.72999999999999,2.29,3.57,16.11
"Oatmeal, made with milk and sugar, Puerto Rican style",147.42,4.63,2.62,26.33
"Oatmeal, reduced sugar, flavored, NS as to fat",105.72999999999999,2.29,3.57,16.11
"Oatmeal, reduced sugar, flavored, no added fat",87.4,2.35,1.28,16.62
"Oatmeal, reduced sugar, flavored, fat added",105.72999999999999,2.29,3.57,16.11
"Oatmeal, multigrain, NS as to fat",74.23,2.1,1.99,11.98
"Oatmeal, multigrain, no added fat",61.379999999999995,2.12,0.46,12.19
"Oatmeal, multigrain, fat added",74.23,2.1,1.99,11.98
"Quinoa, NS as to fat",140.35,4.18,4.75,20.22
"Quinoa, no added fat",119.55,4.38,1.91,21.21
"Quinoa, fat added",140.35,4.18,4.75,20.22
"Rice, cooked, NFS",125.15999999999998,2.67,0.28,27.99
"Rice, white, cooked, NS as to fat",125.15999999999998,2.67,0.28,27.99
"Rice, white, cooked, made with oil",147.24,2.6,3.12,27.19
"Rice, white, cooked, made with butter",142.5,2.62,2.58,27.2
"Rice, white, cooked, made with margarine",138.36,2.6,2.12,27.22
"Rice, white, cooked, fat added, NS as to fat type",144.04,2.6,2.76,27.2
"Rice, white, cooked, no added fat",125.15999999999998,2.67,0.28,27.99
"Rice, brown, cooked, NS as to fat",121.36,2.73,0.96,25.45
"Rice, brown, cooked, fat added, made with oil",139.51,2.66,3.27,24.86
"Rice, brown, cooked, made with butter",135.63,2.68,2.83,24.86
"Rice, brown, cooked, made with margarine",132.33999999999997,2.67,2.46,24.88
"Rice, brown, cooked, fat added, NS as to fat type",136.85,2.67,2.97,24.86
"Rice, brown, cooked, no added fat",121.36,2.73,0.96,25.45
"Rice, cream of, cooked, no added fat",66.61,1.17,0.09,15.28
"Rice, cooked, with milk",140.20000000000002,5.14,2.16,25.05
"Rice, sweet, cooked with honey",136.9,2.52,0.26,31.12
"Rice, creamed, made with milk and sugar, Puerto Rican style",87.36,2.22,0.96,17.46
"Rice, cream of, cooked, fat added",79.16,1.16,1.6,15.03
"Rice, cream of, cooked, NS as to fat",79.16,1.16,1.6,15.03
"Rice, cream of, cooked, made with milk",128.54000000000002,4.41,3.54,19.76
Congee,31.99,0.68,0.07,7.16
"Yellow rice, cooked, NS as to fat",87.65,1.8,0.45,19.1
"Yellow rice, cooked, no added fat",87.65,1.8,0.45,19.1
"Yellow rice, cooked, fat added",103.71000000000001,1.76,2.43,18.7
"Rice, white, cooked, glutinous",93.62999999999998,2.01,0.19,20.97
"Rice, wild, 100%, cooked, NS as to fat",125.67999999999999,3.86,3.08,20.63
"Rice, wild, 100%, cooked, no added fat",103.78,3.97,0.34,21.21
"Rice, wild, 100%, cooked, fat added",125.67999999999999,3.86,3.08,20.63
"Rice, white and wild, cooked, no added fat",77.6,1.82,0.16,17.22
"Rice, brown and wild, cooked, no added fat",119.08,2.89,0.88,24.9
"Rice, white and wild, cooked, fat added",110.42,2.17,2.14,20.62
"Rice, white and wild, cooked, NS as to fat",110.42,2.17,2.14,20.62
"Rice, brown and wild, cooked, fat added",137.68,2.82,3.24,24.31
"Rice, brown and wild, cooked, NS as to fat",112.49000000000001,2.26,2.69,19.81
"Rice, white, cooked with fat, Puerto Rican style",195.65999999999997,2.84,6.3,31.9
"Cream of wheat, NS as to regular, quick, or instant, NS as to fat",63.43,1.44,1.79,10.39
"Cream of wheat, NS as to regular, quick, or instant, no added fat",49.97,1.45,0.21,10.57
"Cream of wheat, NS as to regular, quick, or instant, fat added",63.43,1.44,1.79,10.39
"Cream of wheat, regular or quick, made with water, NS as to fat",63.43,1.44,1.79,10.39
"Cream of wheat, regular or quick, made with water, no added fat",49.97,1.45,0.21,10.57
"Cream of wheat, regular or quick, made with water, fat added",63.43,1.44,1.79,10.39
"Cream of wheat, regular or quick, made with milk, NS as to fat",115.13999999999999,4.84,3.82,15.35
"Cream of wheat, regular or quick, made with milk, no added fat",102.55000000000001,4.91,2.27,15.62
"Cream of wheat, regular or quick, made with milk, fat added",115.13999999999999,4.84,3.82,15.35
"Cream of wheat, regular or quick, made with non-dairy milk, NS as to fat",93.62,2.5,2.98,14.2
"Cream of wheat, regular or quick, made with non-dairy milk, no added fat",80.74000000000001,2.53,1.42,14.46
"Cream of wheat, regular or quick, made with non-dairy milk, fat added",93.62,2.5,2.98,14.2
"Cream of wheat, instant, made with water, no added fat",65.64999999999999,1.52,0.21,14.42
"Wheat, cream of, cooked, made with milk and sugar, Puerto Rican style",108.77000000000001,4.01,1.93,18.84
"Cream of wheat, instant, made with water, fat added",80.87,1.5,2.07,14.06
"Cream of wheat, instant, made with water, NS as to fat",80.87,1.5,2.07,14.06
"Cream of wheat, instant, made with milk, fat added",121.55000000000001,4.17,3.67,17.96
"Cream of wheat, instant, made with milk, no added fat",107.33000000000001,4.26,1.85,18.41
"Cream of wheat, instant, made with milk, NS as to fat",121.55000000000001,4.17,3.67,17.96
"Cream of wheat, instant, made with non-dairy milk, NS as to fat",104.65,2.33,3.01,17.06
"Cream of wheat, instant, made with non-dairy milk, no added fat",90.00999999999999,2.38,1.17,17.49
"Cream of wheat, instant, made with non-dairy milk, fat added",104.65,2.33,3.01,17.06
"Bulgur, no added fat",88.32,3.06,0.24,18.48
"Bulgur, fat added",118.29,2.87,4.17,17.32
"Bulgur, NS as to fat",88.32,3.06,0.24,18.48
"Couscous, plain, cooked",108.96,3.77,0.16,23.11
"Whole wheat cereal, cooked, NS as to fat",63.7,1.53,1.86,10.21
"Whole wheat cereal, cooked, no added fat",50.28000000000001,1.55,0.28,10.39
"Whole wheat cereal, cooked, fat added",63.7,1.53,1.86,10.21
"Wheat cereal, chocolate flavored, cooked",55.23,1.79,0.47,10.96
"Oat bran cereal, cooked, no added fat",73.66,3.21,1.3,12.28
"Oat bran cereal, cooked, fat added",86.11,3.17,2.79,12.08
"Oat bran cereal, cooked, NS as to fat",86.11,3.17,2.79,12.08
Cream of rye,42.17999999999999,1.28,0.18,8.86
"Cereal, nestum",64.09,2.21,1.09,11.36
"Cereal, oat, NFS",401.8,12.4,6.6,73.2
"Cereal, ready-to-eat, NFS",397.37,9.05,4.81,79.47
Cereal (Kellogg's All-Bran),393.62,13.14,4.9,74.24
Cereal (Post Alpha-Bits),402.59999999999997,10.0,4.6,80.3
Cereal (General Mills Cheerios Apple Cinnamon),407.61,8.3,6.09,79.9
Cereal (Kellogg's Apple Jacks),403.8,5.1,3.4,88.2
Cereal (Post Great Grains Banana Nut Crunch),402.0,9.8,8.8,70.9
Cereal (General Mills Cheerios Banana Nut),396.76,5.5,4.0,84.69
Cereal (General Mills Cheerios Berry Burst),397.7,8.8,4.5,80.5
Cereal (Quaker Cap'n Crunch),405.68,4.39,5.12,85.51
Cereal (Quaker Christmas Crunch),404.90999999999997,4.44,4.83,85.92
Cereal (Quaker Cap'n Crunch's Crunchberries),404.99,4.45,4.83,85.93
Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),426.07,7.1,9.23,78.65
Cereal (General Mills Cheerios),401.8,12.4,6.6,73.2
Cereal (General Mills Chex Chocolate),419.07,4.8,8.39,81.09
Cereal (General Mills Chex Cinnamon),408.91,5.0,6.59,82.4
Cereal (General Mills Cheerios Chocolate),403.01,5.8,5.09,83.5
"Cereal, chocolate flavored, frosted, puffed corn",393.66,3.34,3.5,87.2
Cereal (General Mills Lucky Charms Chocolate),399.56000000000006,5.59,4.4,84.4
Cereal (General Mills Cinnamon Toast Crunch),426.01,5.45,10.25,77.99
Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),422.13,5.09,9.89,78.19
Cereal (General Mills Honey Nut Clusters),389.6,7.7,2.0,85.2
Cereal (Kellogg's Cocoa Krispies),394.3,4.6,2.7,87.9
Cereal (Post Cocoa Pebbles),398.9,4.8,4.1,85.7
Cereal (General Mills Cocoa Puffs),404.0,5.6,5.2,83.7
Cereal (General Mills Cookie Crisp),398.40000000000003,5.2,4.4,84.5
Cereal (General Mills Chex Corn),387.20000000000005,6.4,2.4,85.0
"Cereal, corn flakes",370.0,7.5,0.4,84.1
Cereal (Kellogg's Corn Flakes),370.0,7.5,0.4,84.1
"Cereal, corn puffs",393.17999999999995,7.69,3.46,82.82
Cereal (General Mills Count Chocula),401.81,5.4,4.69,84.5
Cereal (Kellogg's Cracklin' Oat Bran),444.9,9.2,14.1,70.3
"Cereal (Post Great Grains, Cranberry Almond Crunch)",395.1,8.9,5.9,76.6
Cereal (Kellogg's Crispix),382.32,6.59,0.8,87.19
"Cereal, crispy rice",382.97999999999996,6.69,1.26,86.22
Cereal (General Mills Fiber One),384.17,6.59,2.29,84.3
Cereal (General Mills Fiber One Honey Clusters),389.67,7.69,2.59,83.9
Cereal (General Mills Fiber One Raisin Bran Clusters),379.41,6.3,2.29,83.4
"Cereal, bran flakes",389.70000000000005,9.65,2.9,81.25
Cereal (Kellogg's All-Bran Complete Wheat Flakes),389.7,10.2,2.5,81.6
Cereal (Post Bran Flakes),380.5,9.9,2.1,80.5
Cereal (General Mills Frankenberry),402.3,5.5,4.3,85.4
Cereal (Kellogg's Froot Loops),403.8,5.3,3.4,88.0
Cereal (Kellogg's Froot Loops Marshmallow),400.67,4.59,2.79,89.3
Cereal (General Mills Cheerios Frosted),397.40999999999997,9.0,4.69,79.8
Cereal (Kellogg's Frosted Mini-Wheats),384.8,9.2,1.6,83.4
"Cereal, frosted rice",386.0,4.3,0.4,91.3
"Cereal, fruit rings",391.32,4.69,3.2,85.94
Cereal (General Mills Cheerios Fruity),401.27,5.8,4.59,84.19
Cereal (Post Fruity Pebbles),399.06,4.62,4.02,86.1
Cereal (General Mills Golden Grahams),390.4,5.3,3.2,85.1
"Cereal, granola",437.98,9.96,11.46,73.75
"Granola, homemade",488.99,13.67,24.31,53.88
Cereal (Kellogg's Low Fat Granola),437.98,9.96,11.46,73.75
Cereal (Post Grape-Nuts),383.13,11.22,1.81,80.49
"Cereal (Post Great Grains Raisins, Dates, and Pecans)",392.7,7.9,7.1,74.3
Cereal (Post Honey Bunches of Oats Honey Roasted),402.38,7.12,5.46,81.19
Cereal (Post Honey Bunches of Oats with Vanilla Bunches),404.7,7.9,5.1,81.8
Cereal (Post Honey Bunches of Oats with Almonds),414.9,7.7,7.3,79.6
Cereal (Post Honeycomb),396.93,6.01,2.93,86.63
Cereal (General Mills Chex Honey Nut),389.88,6.3,2.0,86.67
Cereal (General Mills Cheerios Honey Nut),399.15999999999997,8.85,5.0,79.69
Cereal (Post Shredded Wheat Honey Nut),394.5,8.5,2.9,83.6
Cereal (Kellogg's Honey Smacks),396.6,5.7,2.2,88.5
