food_name,Calories,protein_g,fat_g,carbs_g
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",61.6,4.4,0.32,10.28
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",64.31,2.61,1.35,10.43
"Strawberry milk, NFS",51.81999999999999,3.33,1.9,5.35
"Strawberry milk, whole",86.17,3.04,2.97,11.82
"Strawberry milk, reduced fat",71.64,3.15,1.8,10.71
"Strawberry milk, low fat",69.73,3.13,0.89,12.3
"Strawberry milk, fat free",61.65,3.18,0.09,12.03
"Strawberry milk, reduced sugar",50.02,3.31,0.94,7.08
"Strawberry milk, non-dairy",64.53,1.39,1.13,12.2
"Milk, malted",64.67,3.2,1.91,8.67
Eggnog,88.11000000000001,4.55,4.19,8.05
"Milk shake, home recipe, chocolate",123.38,3.48,6.14,13.55
"Milk shake, home recipe, flavors other than chocolate",112.9,3.36,5.98,11.41
"Milk shake, home recipe, chocolate, light",97.47,3.99,3.31,12.93
"Milk shake, home recipe, flavors other than chocolate, light",91.85,3.88,2.33,13.84
Milk shake with malt,124.71000000000001,3.77,6.11,13.66
"Milk shake, fast food, chocolate",156.18,3.7,6.66,20.36
"Milk shake, fast food, flavors other than chocolate",150.51999999999998,3.37,6.52,19.59
"Milk shake, bottled, chocolate",156.18,3.7,6.66,20.36
"Milk shake, bottled, flavors other than chocolate",150.51999999999998,3.37,6.52,19.59
Licuado or Batido,74.42,2.4,1.38,13.1
"Fruit smoothie, NFS",65.83,2.4,1.07,11.65
"Fruit smoothie, with whole fruit and dairy",65.87,2.4,1.07,11.66
"Fruit smoothie, with whole fruit and dairy, added protein",79.25,7.38,1.21,9.71
"Fruit smoothie juice drink, with dairy",64.9,0.86,0.14,15.05
Chocolate milk drink,48.88,0.64,0.4,10.68
"Infant formula, NFS",66.03999999999999,1.38,3.56,7.12
"Infant formula, NS as to form (Similac Expert Care Alimentum)",66.95,1.8,3.63,6.77
